LCMXO3L/LF-1300,,,,,,,,LCMXO3L/LF-2100,,,,,,,,LCMXO3L/LF-4300,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
A1,GND,-,-,-,-,,,A1,GND,-,-,-,-,,,A1,GND,-,-,-,-
A10,PT9A,0,-,True_OF_PT9B,TRUE,,,A10,PT9A,0,-,True_OF_PT9B,TRUE,,,A10,PT9A,0,-,True_OF_PT9B,TRUE
A11,GND,-,-,-,-,,,A11,GND,-,-,-,-,,,A11,GND,-,-,-,-
A2,PT17A,0,-,True_OF_PT17B,TRUE,,,A2,PT23A,0,-,True_OF_PT23B,TRUE,,,A2,PT27A,0,-,True_OF_PT27B,TRUE
A3,PT16A,0,-,True_OF_PT16B,TRUE,,,A3,PT21A,0,-,True_OF_PT21B,TRUE,,,A3,PT24A,0,-,True_OF_PT24B,TRUE
A4,PT15A,0,-,True_OF_PT15B,TRUE,,,A4,PT19A,0,-,True_OF_PT19B,TRUE,,,A4,PT21A,0,-,True_OF_PT21B,TRUE
A5,PT12C,0,SCL/PCLKT0_0,True_OF_PT12D,-,,,A5,PT18C,0,SCL/PCLKT0_0,True_OF_PT18D,-,,,A5,PT20C,0,SCL/PCLKT0_0,True_OF_PT20D,-
A6,PT12B,0,PCLKC0_1,Comp_OF_PT12A,TRUE,,,A6,PT17B,0,PCLKC0_1,Comp_OF_PT17A,TRUE,,,A6,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE
A7,PT11A,0,-,True_OF_PT11B,TRUE,,,A7,PT13A,0,-,True_OF_PT13B,TRUE,,,A7,PT14A,0,-,True_OF_PT14B,TRUE
A8,PT10D,0,TDI,Comp_OF_PT10C,-,,,A8,PT12D,0,TDI,Comp_OF_PT12C,-,,,A8,PT13D,0,TDI,Comp_OF_PT13C,-
A9,PT10A,0,-,True_OF_PT10B,TRUE,,,A9,PT11A,0,-,True_OF_PT11B,TRUE,,,A9,PT11A,0,-,True_OF_PT11B,TRUE
B1,PR2C,1,-,True_OF_PR2D,-,,,B1,PR2A,1,-,True_OF_PR2B,-,,,B1,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-
